,percent,Provider,diameter,average path length,clustering,average degree,soglia percolativa,GCsize
106,2,Vodafone,2,1.9703219969808639,0.8728344669184722,51.521013241220494,240.10845662182095,1.0
107,3,Vodafone,2,1.970417495298781,0.8728052345345437,50.85232558139535,238.5735028468205,1.0
108,4,Vodafone,2,1.9708001294459974,0.8739282883767375,49.69817968291251,238.0984451061014,1.0
109,5,Vodafone,2,1.9707896413473147,0.874272570377686,49.219454329774614,236.6048876891931,1.0
110,6,Vodafone,2,1.9710225827726076,0.8746656839737998,48.33433193529059,234.05184083302345,1.0
111,7,Vodafone,2,1.9708387168683446,0.8748886446642457,48.14527845036319,232.88676825588414,1.0
112,8,Vodafone,2,1.9706594200457406,0.8749084914147358,47.94250764525994,231.22986247544205,1.0
113,9,Vodafone,2,1.9704667573288446,0.8744354909224101,47.75525339925834,229.7135683594761,1.0
114,10,Vodafone,2,1.9704200499687696,0.8751924938167661,47.32792004996877,228.63667317742704,1.0
115,11,Vodafone,2,1.9700997658199175,0.8748626872486434,47.332070707070706,226.90780804012056,1.0
116,12,Vodafone,2,1.9698694579534313,0.8751975628000117,47.184428844926614,225.57935026643943,1.0
117,13,Vodafone,2,1.969726150065599,0.8753457922192412,46.89419354838709,223.99895440662578,1.0
118,14,Vodafone,2,1.969516588065177,0.8752057907875411,46.70058708414873,222.24494356911387,1.0
119,15,Vodafone,2,1.9691597655807798,0.8748871580737781,46.72295514511873,220.28498418793765,1.0
120,16,Vodafone,2,1.968895151284657,0.8750780595555845,46.59506337558372,218.60558943962434,1.0
121,17,Vodafone,2,1.968692962864753,0.8751146187023161,46.365721997300945,217.15865762435604,1.0
122,18,Vodafone,2,1.9686911356049162,0.875504030041231,45.83617747440273,215.75267311988088,1.0
123,19,Vodafone,2,1.9685107690897914,0.8753379020070872,45.56491712707182,214.1756949286126,1.0
124,20,Vodafone,2,1.9682817531874135,0.8754804181997096,45.3570929419986,212.8748035620744,1.0
125,21,Vodafone,2,1.9690898116199245,0.8748285722910342,43.676096181046674,209.0628258687134,1.0
126,22,Vodafone,2,1.9693038500429696,0.8736291654462036,42.851825340014315,207.63744487505014,1.0
