radio,net,cell,lon,lat,range,samples,distance,grado
UMTS,99,6266184,12.581414,41.952688,667,14,9600.59368757,130
UMTS,99,6238136,12.585717,41.943087,150,3,9098.78987807,105
UMTS,99,6266182,12.576226,41.941723,767,126,8469.61735744,154
UMTS,99,6266186,12.574851,41.941177,107,9,8353.32115375,105
UMTS,99,6233493,12.564909,41.946215,426,55,8242.53575564,130
UMTS,99,1021531,12.557615,41.940615,594,14,7416.70337188,139
UMTS,99,1022502,12.549865,41.951923,1851,48,8090.21196069,276
UMTS,99,1022504,12.547264,41.957722,370,11,8550.67751962,102
UMTS,99,1024421,12.543928,41.940136,1517,40,6751.3193733,250
UMTS,99,1024424,12.545919,41.943548,912,24,7148.39405107,182
UMTS,99,989065,12.547255,41.942285,7,2,7088.81680375,94
UMTS,99,1024465,12.552129,41.940212,198,10,7121.65260774,112
UMTS,99,1021533,12.55367,41.934371,1210,81,6703.47242409,183
UMTS,99,1024462,12.548732,41.939631,675,85,6915.4426196,150
UMTS,99,1021534,12.557997,41.943402,168,3,7671.98772056,112
UMTS,99,6228426,12.576367,41.938299,215,3,8224.3754671,107
