radio,net,cell,lon,lat,range,samples,distance
UMTS,1,98503508,12.449631,41.896517,15,5,3248
UMTS,1,98503510,12.444388,41.895974,347,53,3618
UMTS,1,98502006,12.439601,41.895649,61,6,3963
UMTS,1,98501858,12.4359,41.893902,297,49,4211
UMTS,1,98507233,12.433795,41.893744,2,2,4365
UMTS,1,98764796,12.56857,41.853252,12,9,6992
UMTS,1,98764546,12.575123,41.848658,37,2,7687
UMTS,1,98829928,12.486281,41.928283,42,5,4262
UMTS,1,98371520,12.600524,41.933983,86,3,9400
UMTS,1,98371476,12.64339,41.923169,2627,277,11807
GSM,1,38629,12.61444,41.916566,374,2,9534
UMTS,1,98373377,12.604034,41.916467,491,20,8798
UMTS,1,98376087,12.537655,41.90716,329,3,3860
UMTS,1,98769223,12.599245,41.857484,268,4,8730
UMTS,1,98765606,12.599341,41.856993,15,4,8759
UMTS,1,98769212,12.600119,41.861858,10,2,8600
GSM,1,38951,12.475591,41.9869,1255,35,10830
UMTS,1,98835164,12.494636,41.988276,4546,22,10912
UMTS,1,98835092,12.51015,41.989968,131,6,11178
UMTS,1,98858788,12.520619,41.98543,469,5,10801
UMTS,1,98830248,12.544919,41.97458,128,2,10169
UMTS,1,98371487,12.574419,41.90818,69,7,6417
UMTS,1,98371282,12.573549,41.906371,256,40,6295
UMTS,1,98385223,12.574216,41.900905,223,12,6197
UMTS,1,98385220,12.57715,41.898964,359,111,6375
GSM,1,39686,12.627143,41.919297,1148,6,10525
UMTS,1,98371484,12.626876,41.924807,1139,132,10712
UMTS,1,98420608,12.640633,41.93055,1032,96,11898
GSM,1,38442,12.631313,41.931481,1694,46,11301
GSM,1,38630,12.624432,41.923253,1225,2,10480
GSM,1,4692,12.506649,41.895935,10,11,1241
UMTS,1,98371526,12.511141,41.88387,26,3,1562
GSM,1,38471,12.524985,41.877318,336,3,2814
GSM,1,39085,12.526111,41.876467,25,3,2935
GSM,1,39554,12.524515,41.877455,176,2,2777
UMTS,1,98372213,12.521771,41.8876,4,2,2204
UMTS,1,98370979,12.528786,41.892621,349,12,2721
UMTS,1,98369942,12.541472,41.892534,198,7,3659
UMTS,1,98369941,12.551483,41.890193,1204,64,4393
UMTS,1,98371074,12.561322,41.889344,664,22,5124
UMTS,1,98372252,12.576157,41.899107,263,64,6304
GSM,1,39561,12.445982,41.832195,782,50,7308
GSM,1,39563,12.446497,41.83215,468,198,7295
UMTS,1,98372607,12.638095,41.924961,2551,122,11499
UMTS,1,98376371,12.612348,41.922218,440,18,9602
UMTS,1,98373363,12.618865,41.926941,1352,16,10251
GSM,1,40099,12.525534,41.980176,7491,47,10310
UMTS,1,98371486,12.626974,41.931368,448,8,11002
UMTS,1,98371480,12.631691,41.92653,1238,26,11115
UMTS,1,98372579,12.640065,41.92408,121,9,11605
UMTS,1,98830250,12.577104,41.960064,128,9,10006
UMTS,1,98831424,12.544244,41.97395,8124,70,10085
UMTS,1,98831396,12.543749,41.972409,253,13,9913
UMTS,1,98831426,12.540203,41.968175,332,25,9377
UMTS,1,98829522,12.533896,41.965875,1582,56,8968
