radio,net,cell,lon,lat,range,samples,distance
GSM,88,8569,12.489269,41.883971,165,26,726
GSM,88,26419,12.489251,41.884156,201,28,707
GSM,88,8567,12.483066,41.888046,907,12,727
GSM,88,8525,12.456201,41.897876,691,106,2816
GSM,88,17163,12.458409,41.898603,737,149,2688
GSM,88,8523,12.45607,41.897532,581,100,2814
GSM,88,8524,12.455749,41.897041,481,69,2822
GSM,88,8516,12.46016,41.898463,605,82,2561
GSM,88,8519,12.456908,41.899316,588,76,2820
GSM,88,8536,12.455927,41.899234,9,5,2885
GSM,88,8504,12.456263,41.898665,433,7,2840
GSM,88,18544,12.457228,41.89957,335,4,2808
GSM,88,8521,12.4613,41.900571,654,87,2578
GSM,88,8729,12.456641,41.899871,294,10,2861
GSM,88,8518,12.460773,41.900342,802,122,2602
GSM,88,26312,12.463813,41.899585,1008,71,2362
GSM,88,8517,12.460554,41.900982,210,15,2648
GSM,88,8538,12.462846,41.901558,323,5,2529
GSM,88,36181,12.46228,41.900092,337,73,2489
GSM,88,9542,12.462391,41.900402,229,44,2497
GSM,88,9541,12.462711,41.900049,297,28,2458
GSM,88,17126,12.461644,41.899926,315,34,2524
GSM,88,17138,12.466534,41.892174,1867,20,1928
GSM,88,8471,12.463227,41.897293,784,25,2302
GSM,88,8540,12.46279,41.900236,268,28,2463
GSM,88,52672,12.46001,41.899512,18,3,2615
GSM,88,52672,12.45992,41.899421,6,2,2617
GSM,88,8486,12.460348,41.89933,43,7,2584
GSM,88,52673,12.462132,41.89964,5,2,2477
GSM,88,36180,12.459161,41.899865,639,35,2689
GSM,88,9579,12.465082,41.899854,31,5,2292
GSM,88,9249,12.46457,41.899894,36,7,2328
GSM,88,17169,12.464737,41.900476,18,2,2348
GSM,88,17162,12.456736,41.902859,2,2,2996
GSM,88,17347,12.456253,41.895937,559,35,2755
GSM,88,8715,12.458019,41.89518,66,3,2608
GSM,88,8584,12.456417,41.894348,1226,22,2707
GSM,88,8507,12.468847,41.887432,1518,19,1770
GSM,88,8489,12.452157,41.899284,29,3,3151
GSM,88,55923,12.471022,41.897539,523,4,1782
GSM,88,26310,12.473579,41.896663,755,39,1568
GSM,88,9861,12.468191,41.898366,76,4,2011
GSM,88,9665,12.474505,41.896105,1311,16,1479
GSM,88,8469,12.473309,41.896666,271,14,1586
GSM,88,8470,12.475567,41.89621,313,14,1414
GSM,88,17145,12.475399,41.893461,639,55,1309
GSM,88,9663,12.475491,41.896,114,4,1408
GSM,88,8513,12.47638,41.8956,193,25,1329
GSM,88,9159,12.476297,41.895539,257,29,1332
GSM,88,9664,12.476329,41.895232,237,20,1314
GSM,88,8506,12.475064,41.892326,657,50,1304
GSM,88,8505,12.475054,41.892164,345,25,1302
GSM,88,17147,12.472007,41.88777,667,25,1532
GSM,88,8508,12.474229,41.890308,276,6,1344
GSM,88,17211,12.471874,41.886542,739,27,1571
GSM,88,17213,12.470068,41.883241,1321,53,1824
GSM,88,8580,12.471727,41.886362,850,35,1587
GSM,88,36199,12.46833,41.880575,1185,45,2077
GSM,88,16603,12.472724,41.887231,44,3,1492
GSM,88,16602,12.47286,41.887354,25,2,1479
GSM,88,8581,12.469795,41.883855,520,23,1815
GSM,88,8582,12.468583,41.882349,365,18,1966
GSM,88,8577,12.466682,41.877907,605,7,2342
GSM,88,17212,12.467072,41.880612,207,4,2156
GSM,88,36198,12.465474,41.874157,968,63,2674
GSM,88,17219,12.465117,41.873251,926,71,2761
GSM,88,8579,12.465375,41.873594,741,67,2721
GSM,88,8576,12.465714,41.876422,388,4,2499
GSM,88,52736,12.465079,41.873172,615,65,2769
GSM,88,17218,12.465314,41.873146,328,60,2758
GSM,88,8578,12.465366,41.873131,143,36,2757
GSM,88,17232,12.465354,41.873142,70,11,2756
GSM,88,52734,12.46471,41.872546,276,8,2837
GSM,88,9536,12.463011,41.872678,714,5,2919
GSM,88,17230,12.461814,41.871113,699,9,3103
GSM,88,9535,12.46138,41.869473,327,6,3253
GSM,88,8590,12.457095,41.870567,593,6,3405
GSM,88,52735,12.461314,41.870002,281,5,3215
GSM,88,17247,12.460678,41.868386,64,2,3375
GSM,88,17568,12.462896,41.864378,152,3,3606
GSM,88,17249,12.456945,41.852593,1547,19,4936
GSM,88,17570,12.458451,41.85716,759,6,4450
GSM,88,17247,12.457211,41.853346,1461,17,4855
GSM,88,17244,12.463065,41.863705,70,2,3659
GSM,88,8607,12.457176,41.854315,1218,6,4766
GSM,88,8605,12.458451,41.85716,759,6,4450
GSM,88,17245,12.455919,41.850699,1026,15,5155
GSM,88,17246,12.459286,41.85876,102,2,4269
GSM,88,17258,12.455267,41.848751,1248,13,5366
GSM,88,17248,12.454786,41.847436,650,14,5510
GSM,88,8609,12.456015,41.847263,406,10,5481
GSM,88,55782,12.453658,41.845272,1272,14,5760
GSM,88,55784,12.452722,41.843066,746,5,6008
GSM,88,19242,12.453479,41.844206,303,3,5870
GSM,88,8988,12.455347,41.8417,1021,5,6050
GSM,88,19243,12.448724,41.837261,314,3,6716
GSM,88,56987,12.37081,41.820555,467,2,11886
UMTS,88,25318886,12.424861,41.810906,7290,16,10139
GSM,88,10700,12.517932,41.876295,21,4,2448
UMTS,88,25233437,12.498322,41.889849,523,37,446
UMTS,88,25233441,12.503129,41.888922,211,5,813
UMTS,88,25233379,12.501871,41.888084,275,12,745
UMTS,88,25233440,12.500634,41.887053,2145,10,707
UMTS,88,25233380,12.487686,41.890772,801,39,351
UMTS,88,25233445,12.491435,41.890712,37,3,89
UMTS,88,25243379,12.488708,41.889923,163,5,270
UMTS,88,25233393,12.480283,41.894733,828,3,1028
UMTS,88,25233349,12.479706,41.89577,938,3,1125
UMTS,88,25233395,12.478694,41.896552,1058,3,1236
UMTS,88,25233391,12.482559,41.894652,681,2,880
UMTS,88,25242643,12.522133,41.852797,5019,2,4709
UMTS,88,25308233,12.414508,41.848337,7678,2,7418
UMTS,88,25308234,12.412804,41.848919,7752,2,7477
UMTS,88,25459571,12.465139,41.817582,15340,35,8322
GSM,88,30010,12.485874,41.893636,2,2,615
GSM,88,29830,12.478044,41.857443,129,2,3791
UMTS,88,25311259,12.43286,41.809203,583,13,10029
UMTS,88,25245973,12.498466,41.917814,40,6,3108
UMTS,88,25692215,12.456195,41.88269,1812,98,2809
UMTS,88,25233460,12.46652,41.882583,845,5,2094
UMTS,88,25700591,12.4453,41.870717,25,4,4108
UMTS,88,25692223,12.456493,41.882752,291,17,2786
UMTS,88,25729451,12.456701,41.883508,121,7,2747
UMTS,88,25305528,12.470077,41.830492,219,2,6840
UMTS,88,25504606,12.592987,41.956085,1628,3,10473
UMTS,88,25502254,12.404682,41.965192,22,2,10585
UMTS,88,25504054,12.40483,41.965245,34,4,10583
UMTS,88,25239932,12.479699,41.878094,355,6,1638
UMTS,88,25233451,12.475488,41.879904,15,6,1693
UMTS,88,25305510,12.442152,41.861765,9,3,4885
UMTS,88,25729449,12.457031,41.882728,486,50,2749
GSM,88,17229,12.456643,41.883323,103,3,2757
UMTS,88,25503191,12.417147,41.965,2025,2,10024
UMTS,88,25510372,12.477308,41.99399,30,4,11601
UMTS,88,25532851,12.440107,41.970928,35,4,9784
UMTS,88,25336218,12.46541,41.868794,18,5,3106
UMTS,88,25502265,12.440058,41.970927,14,3,9786
UMTS,88,25692221,12.458902,41.878331,795,17,2810
UMTS,88,25519650,12.454037,41.98678,5,3,11115
UMTS,88,25701357,12.450296,41.877783,877,6,3412
GSM,88,8583,12.456585,41.883542,218,7,2755
UMTS,88,25692216,12.458026,41.883911,1721,92,2641
UMTS,88,25700619,12.439644,41.894044,666,5,3936
UMTS,88,25233456,12.476608,41.874265,520,4,2119
