,net,cell,lon,lat,range,samples,distanze
180,10,57112,12.478145,41.855408000000004,1,2,4036.9680959916154
181,10,57832,12.471559,41.860061,6061,4,3762.905412150412
182,10,29821,12.436949,41.817646999999994,613,4,9275.832462497305
183,10,57411,12.479875,41.870971000000004,7406,5,2370.1801055656456
184,10,5991,12.506402,41.904807,40,2,2001.353672643828
185,10,57931,12.503679,41.903301,399,2,1735.799225480666
186,10,29472,12.468442999999999,41.881382,2986,2,2210.0690124584517
187,10,29478,12.47805,41.855438,15,3,4036.090449193315
188,10,7571,12.50559,41.903705,39,4,1862.7116803612817
189,10,57682,12.455053,41.860709,5183,2,4503.992861394729
190,10,58583,12.503357000000001,41.904389,322,7,1824.9373612393013
191,10,56821,12.500233999999999,41.907139,42,3,1995.2900212501652
192,10,50594049,12.541637,41.866062,2256,6,4891.121616116056
193,10,6219088,12.538275,41.869358,51,4,4459.710765587988
194,10,6219089,12.535086999999999,41.866726,18,3,4402.089037444062
195,10,597647,12.595379,41.836585,18,11,10422.540941758485
196,10,30378,12.382352000000001,41.935714000000004,109,2,10432.568252927656
197,10,54242,12.385099,41.909676,507,2,9158.043404611293
198,10,45217,12.436152,41.936927000000004,698,2,6977.852996704187
199,10,46293,12.592537,41.841596,572,3,9915.954668034266
200,10,28353,12.480986999999999,41.800308,50,2,10025.695761488374
201,10,23962,12.590777000000001,41.838267,58,2,10002.315644243994
202,10,28879,12.452122,41.826894,425,7,7781.123012034818
203,10,10086632,12.440854,41.941427000000004,13,4,7116.608584850901
204,10,10086629,12.440804,41.941466999999996,13,4,7122.65098262777
205,10,10084612,12.421049,41.941096,21,3,8183.0124788594
206,10,10035836,12.454034,41.814302000000005,1382,2,9007.153159160262
207,10,10035830,12.458716,41.824376,923,3,7823.008134567538
208,10,10084609,12.421607,41.941039,84,4,8145.231124136961
209,10,10068510,12.419592,41.943591999999995,1638,6,8462.710737574673
210,10,10084429,12.547966,41.864667,1,2,5417.920574722129
211,10,10084432,12.548025,41.864740000000005,8,2,5417.8616254141425
